Multipole_ell,D_ell_LambdaCDM_Theory,D_ell_ECF_Theory
78,812.41440996282,812.4144099622331
79,811.8840428834986,811.8840428832068
80,811.4283432707952,811.4283432706513
81,811.0516380406685,811.0516380405982
82,810.7585622691383,810.7585622691043
83,810.5540720505551,810.5540720505387
84,810.44345761483,810.4434576148221
85,810.4323566656841,810.4323566656805
86,810.5267678982644,810.5267678982627
87,810.7330646506201,810.7330646506193
88,811.0580086394824,811.0580086394821
89,811.5087637266286,811.5087637266283
90,812.0929096577864,812.0929096577863
91,812.8184557116366,812.8184557116366
92,813.6938541919477,813.6938541919477
93,814.7280136913135,814.7280136913135
94,815.9303120503386,815.9303120503386
95,817.3106089314884,817.3106089314884
96,818.8792579221944,818.8792579221944
97,820.647118077219,820.647118077219
98,822.6255648057926,822.6255648057926
99,824.8265000046151,824.8265000046151
100,827.2623613335894,827.2623613335894
101,829.9461305270557,829.9461305270557
102,832.8913406294749,832.8913406294749
103,836.1120820409124,836.1120820409124
104,839.623007254406,839.623007254406
105,843.4393341643774,843.4393341643774
106,847.5768478227233,847.5768478227233
107,852.051900517137,852.051900517137
108,856.8814100446158,856.8814100446158
109,862.0828560520533,862.0828560520533
110,867.6742743153384,867.6742743153384
111,873.6742488285261,873.6742488285261
112,880.1019015754825,880.1019015754825
113,886.9768798579337,886.9768798579337
114,894.3193410561532,894.3193410561532
115,902.1499347016338,902.1499347016338
116,910.4897817450116,910.4897817450116
117,919.3604509073411,919.3604509073411
118,928.7839320085288,928.7839320085288
119,938.7826061733988,938.7826061733988
120,949.3792128234661,949.3792128234661
121,960.5968133711018,960.5968133711018
122,972.4587515423433,972.4587515423433
123,984.9886102652116,984.9886102652116
124,998.2101650719701,998.2101650719701
125,1012.147333976381,1012.147333976381
126,1026.8241238005826,1026.8241238005826
127,1042.264572940792,1042.264572940792
128,1058.492690576543,1058.492690576543
129,1075.5323923446128,1075.5323923446128
130,1093.4074325161064,1093.4074325161064
131,1112.1413327333019,1112.1413327333019
132,1131.757307381796,1131.757307381796
133,1152.2781856931147,1152.2781856931147
134,1173.7263306932175,1173.7263306932175
135,1196.1235551331636,1196.1235551331636
136,1219.49103455948,1219.49103455948
137,1243.849217703451,1243.849217703451
138,1269.217734390464,1269.217734390464
139,1295.615301192619,1295.615301192619
140,1323.059625069924,1323.059625069924
141,1351.5673052673994,1351.5673052673994
142,1381.1537337571997,1381.1537337571997
143,1411.8329945362784,1411.8329945362784
144,1443.617762111018,1443.617762111018
145,1476.5191995204998,1476.5191995204998
146,1510.5468562695303,1510.5468562695303
147,1545.7085665610223,1545.7085665610223
148,1582.0103482346829,1582.0103482346829
149,1619.4563028350851,1619.4563028350851
150,1658.0485172468611,1658.0485172468611
151,1697.7869673478704,1697.7869673478704
152,1738.669424142589,1738.669424142589
153,1780.6913628474801,1780.6913628474801
154,1823.8458754076512,1823.8458754076512
155,1868.1235869294617,1868.1235869294617
156,1913.512576516914,1913.512576516914
157,1959.9983030003868,1959.9983030003868
158,2007.5635360445795,2007.5635360445795
159,2056.1882931182436,2056.1882931182436
160,2105.849782801332,2105.849782801332
161,2156.5223548955837,2156.5223548955837
162,2208.177457792089,2208.177457792089
